0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,412,0,0,0,0,1,0,1,3,1,2,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,166,0,0,2,0,0,0
36,2,0,146,1,0,125,61,0,4,4,48,0,0,3,0,8,0,1,2,2,0,0,0,39,4,0,1,0,3,0,1,1,3,7,7,0,1,0,3,0,2,1,73,3,1,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0
90,3,2,1,4,0,1,1,0,1,27,2,3,0,0,1,1,0,0,3,50,1,0,1,99,47,12,0,108,1,0,0,0,0,58,5,0,0,6,1,0,23,1,29,0,0,18,0,0,0
55,7,0,10,7,1,0,3,2,0,1,1,4,0,1,0,1,0,2,299,8,0,0,0,12,1,4,0,0,0,0,0,0,0,46,6,0,0,1,0,0,21,2,91,1,0,13,0,0,0
0,147,0,0,1,0,0,1,0,0,0,1,1,88,5,0,2,1,0,92,0,2,2,0,0,5,0,0,3,148,0,0,0,1,0,1,0,0,0,5,0,0,0,91,0,1,2,0,0,0
0,2,0,18,0,103,0,3,1,1,0,138,1,3,1,2,109,0,2,0,0,4,2,1,0,0,1,1,14,110,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,77,0,0,0
0,0,0,0,2,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,1,0,0,0,0,0,0,0,86,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,1,0,84,2,0,1,0,0,1,3,0,233,0,0,0,198,0,1,0,1,0,0,0,0,0,60,4,0,0,3,0,0,1,1,0,0,0,0,0,0,0
78,5,0,0,0,0,0,66,0,1,0,149,0,4,4,1,2,94,1,2,1,0,2,1,1,102,0,2,10,52,0,0,0,5,0,1,0,3,4,1,0,2,1,2,1,0,2,0,0,0
0,1,0,0,0,0,0,306,1,1,1,0,0,0,1,0,1,3,0,0,0,2,1,138,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,136,0,0,0
0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,298,2,0,34,0,0,0,0,7,0,0,0,171,0,6,3,0,0,0,0,0,0,0,61,1,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,287,0,0,0,2,17,0,0,7,0,0,0,0,0,122,0,0,0,2,1,0,4,113,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,276,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,260,0,50,0,0,0,1,0
0,1,0,41,0,2,0,3,0,115,3,0,3,6,1,0,3,2,0,0,4,10,5,2,0,1,0,0,6,0,0,0,18,3,5,0,0,0,1,3,0,101,1,15,228,1,15,1,0,0
3,2,1,120,5,28,2,6,2,4,4,65,5,2,2,0,0,2,4,6,52,0,0,0,120,1,5,4,1,2,0,4,0,1,61,4,0,0,2,2,1,11,5,52,5,2,1,0,0,1
1,5,0,97,1,0,0,1,2,0,0,0,0,0,5,4,0,0,11,1,35,0,0,0,27,1,1,0,2,1,0,0,0,1,185,94,0,0,0,0,0,0,2,89,0,1,32,1,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,144,0,0,0,0,0,1,0,0,0,1,0,0,0,0,449,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,1,1,1,3,0,0,0,0,0,0,1,360,0,0,0,0,0,2,0,140,0,0,77,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,572,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,577,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,1,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,1,0,94,484,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,360,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
1,1,0,4,2,0,0,2,0,1,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,573,0,0,3,0,0,0
262,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,318,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,98,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,540,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
1,27,0,11,1,0,0,0,0,2,2,0,101,0,1,0,0,0,2,2,2,0,0,0,3,2,2,1,2,1,0,1,1,1,2,0,0,1,6,2,0,0,0,420,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,522,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,428,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,44,0,105,0,0,12,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,371,0,0,0,1,0,0,0,1,219,0,0,0,0,0,0
0,266,0,0,0,1,0,3,0,1,0,23,2,0,0,0,1,2,1,2,95,0,0,0,2,0,1,1,0,0,1,1,0,0,76,0,0,0,0,0,0,2,3,114,0,0,2,0,0,0
0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,0,0,0,0,5,0,0,0,341,0,1,0,1,0,0,1,0,0,75,0,0,0,2,0,0,0,1,162,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,596,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0
9,1,0,2,0,0,1,0,0,3,0,0,7,0,0,0,0,1,0,10,0,0,0,0,6,0,3,1,0,1,0,0,0,6,473,0,0,0,9,1,0,4,2,31,28,0,0,1,0,0
196,0,0,6,0,1,0,1,0,3,225,0,3,0,0,4,0,0,1,0,1,0,7,0,2,0,0,1,1,0,0,1,0,0,122,1,0,0,0,0,0,6,0,12,0,0,6,0,0,0
352,0,2,0,14,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,218,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,330,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,1,440,0,0,1,0,0,0
364,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,4,4,1,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,107,0,0,6,0,1,0,0,93,1,0,1,0,0,0
64,2,0,1,1,0,0,0,0,9,2,0,23,0,2,1,1,4,0,1,2,0,0,0,194,1,4,0,0,0,0,0,0,6,8,3,0,0,6,1,0,4,1,183,26,0,50,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,134,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,1,509,0,0,1,0,0,0,1,0,0,1,4,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,73,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,574,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,10,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,1,0,2,0,421,0,0,0,0,1,2,1,2,1,0,0,0,0,0,4,1,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,1,142,0,2,7,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,207,0,2,1,1,0,0,0,0,0,6,0,0,0,0,0,0,9,0,355,0,0,12,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,1,2,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,93,0,0,0,0,0,0
1,2,1,0,24,1,0,3,0,7,2,1,1,2,1,0,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,11,0,0,0,2,1,0,2,0,502,2,0,3,0,0,0
0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
123,26,0,0,1,0,1,0,0,111,1,0,1,0,2,0,0,0,0,5,0,0,1,0,0,1,1,3,0,0,0,5,1,1,1,1,0,1,2,0,0,1,1,306,2,0,0,1,0,0
22,0,0,0,0,1,0,0,0,2,7,2,1,0,0,1,1,1,0,1,0,0,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,547,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,4,0,587,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0
0,0,0,469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
0,405,0,177,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,2,0,1,0,0,0
0,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,481,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
7,1,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,6,0,0,1,0,0,0,0,0,0,213,1,0,0,5,0,0,7,2,307,0,0,40,0,0,0
0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,120,66,1,0,0,0,0,0,0,0,0,25,1,2,0,0,0,0,0,0,0,0,0,378,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,585,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,119,0,1,0,0,0,2,16,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,453,3,0,0,0,0,0
0,2,0,23,0,0,0,2,0,7,36,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,3,4,0,0,0,1,0,0,512,0,1,0,0,0,0,0,0
0,32,0,446,3,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,2,1,7,0,0,0,11,3,1,30,0,48,0,0,0,0,0,1
0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,426,0,0,0,0,0,0
0,0,1,1,0,2,0,3,0,2,102,0,1,1,2,3,0,0,1,0,0,0,12,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,345,0,0,117,0,0,0
